codigoGrasa,Grado NLGI Consistencia,Espesante,Color,Aceite Base,Viscosidad del Aceite Base a 40°C. cSt,"Penetración de Cono a 25°C, 0.1mm","Penetración tras 104 golpes, 0.1mm","Punto de Gota, °C","Desgaste Cuatro Bolas, mm","Punto de Soldadura Cuatro Bolas, kgf","Resistencia al Lavado por Agua a 80°C, %","Ensayo Corrosión Niebla Salina, horas",Prevencion a la Corrosion,Corrosión al Cobre,"Separacion del Aceite, %","Temperatura de Servicio °C, min","Temperatura de Servicio °C, max",Indice de Viscosidad,Descripcion,Beneficios,Aplicaciones,Textura,Norma de Calidad,Ensayo Cuatro Bolas ASTM D-2266
ULTRAPLEX MCS 1,1,Complejo de Sulfonato de Calcio,Ámbar anaranjada transparente,Aceite mineral de alta viscosidad,460,320,333,>300,0.31,620,18,>1000,Pasa,1a,0.12,-20,180,,"Grasa de sulfonato de calcio reforzada con aditivos EP, excelente capacidad anticorrosiva y de extrema presión.","Alta estabilidad mecánica, gran resistencia al agua, elevada adherencia y protección a altas cargas.","Cojinetes, engranajes abiertos, reductores, cables, componentes mecánicos en minería, cementeras y siderurgia.","Homogénea, adherente",ISO-L-XBEIB 1,0.31 mm
ULTRAPLEX MCS 2,2,Complejo de Sulfonato de Calcio,Ámbar anaranjada transparente,Aceite mineral de alta viscosidad,460,285,295,>300,0.31,620,11,>1000,Pasa,1a,0.08,-20,180,,Grasa con espesante complejo de sulfonato de calcio y alta resistencia a la corrosión y al lavado por agua.,"Excelente capacidad de carga, adherencia, estabilidad térmica y resistencia al envejecimiento.","Lubricación de maquinaria industrial pesada, engranajes, reductores, acoplamientos y cables.","Homogénea, adherente",ISO-L-XBEIB 2,0.31 mm
